ligand_std,grid_category,n,mean_score,sd_score,dual_chain_fraction,mean_total_contacts,mean_optn_contacts,mean_tbk1_contacts,strong_cleft_fraction,res50_within_8A_fraction,mean_dist_res50,mean_median_rmsd,systems_low_rmsd_fraction
Acacetin,blind,40,-5.55505,0.36597134187928304,0.975,7.15,4.125,3.025,0.9,0.75,6.798299785895256,4.196982254623592,0.5
Amlexanox,blind,40,-5.3895,0.40552763983071066,1.0,7.1,3.825,3.275,1.0,0.75,5.567864817864867,5.919905250578078,0.0
Berberine,blind,40,-5.795975,0.11322464339442567,1.0,6.8,3.8,3.0,0.9,0.675,7.451886872084192,5.643787414310987,0.25
Coptisine,blind,52,-6.554711538461539,0.19076546903981043,1.0,6.153846153846154,3.2884615384615383,2.8653846153846154,0.8653846153846154,0.5384615384615384,8.63589362473316,3.55170858539572,0.75
Coptisine,sidechain,12,-6.223416666666666,0.3100766645182902,0.75,6.666666666666667,3.9166666666666665,2.75,0.75,0.8333333333333334,6.236917966124248,5.043673595055526,0.75
Cryptotanshinone,blind,12,-6.199666666666666,0.2600738822766026,0.8333333333333334,5.583333333333333,3.1666666666666665,2.4166666666666665,0.8333333333333334,0.5,9.395486659600968,5.555928826086875,0.5
Cryptotanshinone,sidechain,12,-6.172,0.3863326404679129,1.0,6.583333333333333,3.4166666666666665,3.1666666666666665,1.0,1.0,3.746929233714051,3.2135236353945515,0.5
Linarin,blind,52,-5.928942307692308,0.41211470007523354,1.0,9.653846153846153,4.5576923076923075,5.096153846153846,0.9807692307692307,0.8846153846153846,5.987549548637651,9.332839199577958,0.0
Linarin,sidechain,12,-5.329583333333333,0.45536088751537246,1.0,8.833333333333334,5.25,3.5833333333333335,0.9166666666666666,1.0,3.6154206288871813,9.007142956811917,0.0
Quercetin,blind,40,-5.5701,0.33197465148828625,1.0,7.725,4.725,3.0,0.875,0.775,5.529694846329597,7.1015052580971165,0.0
Tanshinone_I,blind,12,-6.095,0.4003275931261568,0.9166666666666666,6.25,3.0833333333333335,3.1666666666666665,0.9166666666666666,0.5,8.820404825669101,4.054484734965643,0.75
Tanshinone_I,sidechain,12,-5.919083333333333,0.29766163167210025,1.0,5.666666666666667,3.0,2.6666666666666665,0.6666666666666666,0.8333333333333334,4.456055880018087,10.463780839941114,0.0
Tanshinone_IIA,blind,12,-6.112333333333333,0.2862403101443174,0.9166666666666666,6.0,3.5,2.5,0.8333333333333334,0.75,6.7854756401090235,8.699427474690184,0.0
Tanshinone_IIA,sidechain,12,-6.099083333333333,0.4330392504430086,1.0,5.583333333333333,3.3333333333333335,2.25,0.9166666666666666,1.0,4.0845144020384145,2.469662320487141,0.5
