pmcid,disease_label,broad_disease,gene,confidence
PMC9577736,,,MCC,high
PMC9577736,,,IL6,high
PMC9577736,,,AKT1,high
PMC9577736,,,STAT3,high
PMC9577736,,,JUN,high
PMC9577736,,,PTGS2,high
PMC9577736,,,CXCL8,high
PMC9577736,,,CASP3,high
PMC9577736,,,MMP9,high
PMC9577736,,,MAPK3,high
PMC9577736,,,TLR4,high
PMC9577736,,,CCL2,high
PMC9577736,,,VEGFA,high
PMC7195658,heart_failure,cardiovascular,AKT1,medium
PMC7195658,heart_failure,cardiovascular,TNF,medium
PMC7195658,heart_failure,cardiovascular,RAF1,medium
PMC7195658,heart_failure,cardiovascular,IL6,medium
PMC7195658,heart_failure,cardiovascular,IL1B,medium
PMC11476943,obesity,metabolic,AKT1,medium
PMC11476943,obesity,metabolic,PPARG,medium
PMC11476943,obesity,metabolic,PTGS2,medium
PMC11476943,obesity,metabolic,ESR1,medium
PMC11476943,obesity,metabolic,MMP9,medium
PMC11476943,obesity,metabolic,PPARA,medium
PMC11476943,obesity,metabolic,CCND1,medium
PMC11476943,obesity,metabolic,TLR4,medium
PMC11476943,obesity,metabolic,SLC6A4,medium
PMC11476943,obesity,metabolic,CNR1,medium
PMC7603558,ovarian_cancer,cancer,TP53,medium
PMC7603558,ovarian_cancer,cancer,BCL2,medium
PMC7603558,ovarian_cancer,cancer,BAX,medium
PMC7603558,ovarian_cancer,cancer,FAS,medium
PMC7603558,ovarian_cancer,cancer,VDR,medium
PMC7603558,ovarian_cancer,cancer,CDKN1A,medium
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,STAT3,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,CTNNB1,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,MAPK1,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,MAPK3,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,AGT,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,NQO1,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,TOP2A,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,FDFT1,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,ALDH4A1,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,KCNH2,high
PMC8430321,nonalcoholic_fatty_liver,hepatic_metabolic,SCN10A,high
PMC8514782,pulmonary_fibrosis,respiratory,AKT1,medium
PMC8514782,pulmonary_fibrosis,respiratory,MAPK1,medium
PMC8514782,pulmonary_fibrosis,respiratory,TNF,medium
PMC9073317,gastritis,gastrointestinal,MMP2,high
PMC9073317,gastritis,gastrointestinal,DRD2,high
PMC9073317,gastritis,gastrointestinal,AKR1B1,high
PMC7970560,acute_lung_injury,respiratory,VEGFA,medium
PMC7970560,acute_lung_injury,respiratory,FGF2,medium
PMC7970560,acute_lung_injury,respiratory,PIK3CA,medium
PMC7970560,acute_lung_injury,respiratory,MAPK1,medium
