pmcid,pmid,doi,title,year,journal,author_string,article_type,disease_label,broad_disease,disease_raw,genes,extraction_confidence,extraction_score,anchor,source_section,source_kind,source_order,source_span,explicit_count,count_match,candidate_count,xml_sha256,gene_count
PMC9577736,36267750,10.21037/atm-22-3976,Exploring the mechanism of Shexiang Tongxin dropping pill in the treatment of microvascular angina through network pharmacology and molecular docking,2022,Annals of Translational Medicine,"Chang C, Ren Y, Su Q.",research-article,,,,MCC|IL6|AKT1|STAT3|JUN|PTGS2|CXCL8|CASP3|MMP9|MAPK3|TLR4|CCL2|VEGFA,high,18.0,key,construction of the ppi network,paragraph,67,"A total of 13 key targets were finally obtained ( Figure 6 ), which were ranked sequentially in MCC descending order ( Table 3 ), as follows: IL6 , AKT1 , STAT3 , JUN , IL - 1 β, PTGS2 , CXCL8 , CASP3 , MMP9 , MAPK3 , TLR4 , CCL2 , and VEGFA .",13,True,2,5277b0fcd219af777c69bc5a53317e31b3dc1416ef541dc29bd934bfb16a7495,13
PMC7195658,32382301,10.1155/2020/6473745,Exploring Molecular Mechanism of Huangqi in Treating Heart Failure Using Network Pharmacology,2020,Evidence-based Complementary and Alternative Medicine : eCAM,"Tao YG, Huang XF, Wang JY, Kang MR, Wang LJ, Xian SX.",research-article,heart_failure,cardiovascular,Heart Failure,AKT1|TNF|RAF1|IL6|IL1B,medium,9.941176470588236,top,3.6. kegg pathways of targets' intersection of hf and huangqi,paragraph,17,"In addition, the top 5 targets were AKT1, TNF, RAF1, IL-6, and IL-1 β enriched in KEGG pathways. The top 5 signaling pathways with lowest P value were shown in Table 5 .",,False,7,46506b92cfc6bbc987375fc66ecd71e21c15bfd6478df3310e03c74132ca9324,5
PMC11476943,39409084,10.3390/ijms251910755,Network Pharmacology Revealing the Therapeutic Potential of Bioactive Components of Triphala and Their Molecular Mechanisms against Obesity,2024,International Journal of Molecular Sciences,"Inpan R, Sakuludomkan C, Na Takuathung M, Koonrungsesomboon N.",research-article,obesity,metabolic,Obesity,AKT1|PPARG|PTGS2|ESR1|MMP9|PPARA|CCND1|TLR4|SLC6A4|CNR1,medium,11.0,top,2.4. analysis of protein-protein interaction,paragraph,8,"The top 10 genes identified in the analysis were AKT1, PPARG, PTGS2, ESR1, MMP9, PPARA, CCND1, TLR4, SLC6A4, and CNR1 ( Figure 2 A). The genes with the highest degree in the network were highly interconnected, suggesting they may be critically involved in the same biological activity.",,False,1,f415f14fcc63e89329cbd30af64e454ca97909d5848ce7c38babfe4fe6e2d69a,10
PMC7603558,33150184,10.1155/2020/8965459,Network Pharmacology-Based and Clinically Relevant Prediction of the Potential Targets of Chinese Herbs in Ovarian Cancer Patients,2020,BioMed Research International,"Sun J, Liu J, Liu D, Wu X.",research-article,ovarian_cancer,cancer,Ovarian Cancer,TP53|BCL2|BAX|FAS|VDR|CDKN1A,medium,10.690140845070422,core,3.6. targets prediction in the candidate ingredient-target network,paragraph,25,"According to the prediction of the PPI network, we have formed a network of interactions between core proteins whose combined scores are higher than 0.9 [ 22 , 23 ]. In this network, the big red nodes (TP53, BCL-2, BAX, NF- κ B, FAS, VDR, and CDKN1A) have a higher degree of freedom, which indicates that these genes may be more important targets in the 12 herbs and the development of OvCa.",,False,1,e958eecdd496c01ff0ff5ba33b9688b539102385d7f1748f5dd532f6ae053e09,6
PMC8430321,34512330,10.3389/fphar.2021.693701,Network Pharmacology-Based Analysis on the Potential Biological Mechanisms of Sinisan Against Non-Alcoholic Fatty Liver Disease,2021,Frontiers in Pharmacology,"Wei X, Hou W, Liang J, Fang P, Dou B, Wang Z, Sai J, Xu T, Ma C, Zhang Q, Cheng F, Wang X, Wang Q.",research-article,nonalcoholic_fatty_liver,hepatic_metabolic,Non-Alcoholic Fatty Liver Disease,STAT3|CTNNB1|MAPK1|MAPK3|AGT|NQO1|TOP2A|FDFT1|ALDH4A1|KCNH2|SCN10A,high,20.0,hub,abstract,paragraph,0,"Six PPI clusters were identified and ten hub targets were obtained, including STAT3, CTNNB1, MAPK1, MAPK3, AGT, NQO1, TOP2A, FDFT1, ALDH4A1, and KCNH2. The experimental study indicated that SNS reduced hyperlipidemia, liver steatosis, and inflammation.",,False,3,8a6a6246f18c830ec0b438e0e1ca19c4990749f634db9e7862f853323f3569c2,11
PMC8514782,34658873,10.3389/fphar.2021.733618,Evaluating the Therapeutic Mechanisms of Selected Active Compounds in Houttuynia cordata Thunb. in Pulmonary Fibrosis via Network Pharmacology Analysis,2021,Frontiers in Pharmacology,"Zhu DW, Yu Q, Sun JJ, Shen YH.",research-article,pulmonary_fibrosis,respiratory,Pulmonary Fibrosis,AKT1|MAPK1|TNF,medium,9.818181818181818,core,the molecular docking of ingredient and key target proteins,paragraph,40,"Three core target proteins (AKT1, MAPK1, and TNF-α) with high degrees were identified with nine active compounds (quercetin, hyperoside, rutin, heriguard, 2-undecanone, isoquercitrin, quercitrin, β-stigmasterol, and myrcene) by AutoDock Vina.",,False,1,289a905b686293e71819ecf7d715b0eb98b622ff5fbd5e396a3d1f25c890912f,3
PMC9073317,35573887,10.1016/j.jpha.2021.01.005,Identifying the molecular basis of Jinhong tablets against chronic superficial gastritis via chemical profile identification and symptom-guided network pharmacology analysis,2022,Journal of Pharmaceutical Analysis,"Shi D, Liu L, Li H, Pan D, Yao X, Xiao W, Yao X, Yu Y.",research-article,gastritis,gastrointestinal,gastritis,MMP2|DRD2|AKR1B1,high,16.529411764705884,key,abstract,paragraph,5,"MMP2, DRD2, and AKR1B1 are key targets of Jinhong tablets in the treatment of chronic superficial gastritis.",,False,2,2922f952d48e4d32970f6a8033426e180ff39f0fe01ec6d8a7426b7ca702af6e,3
PMC7970560,33746744,10.3389/fphar.2020.611794,Elucidation of the Mechanism of Action of Ginseng Against Acute Lung Injury/Acute Respiratory Distress Syndrome by a Network Pharmacology-Based Strategy,2020,Frontiers in Pharmacology,"Ding Q, Zhu W, Diao Y, Xu G, Wang L, Qu S, Shi Y.",research-article,acute_lung_injury,respiratory,Acute Respiratory Distress Syndrome,VEGFA|FGF2|PIK3CA|MAPK1|IL2|IL1B|TNF,medium,11.58974358974359,key,validation of targets and pathways,paragraph,53,"VEGFA, FGF2, PIK3CA, MAPK1, and IL2 were the key targets involved in the PI3K-AkT signaling pathway. MAPK1 and FGF2 as well as IL1B and TNF (measured by ELISA) were the critical targets participating in the MAPK signaling pathway.",,False,2,aa3a9ab61295a664c1641a9b389de23b1cdfc85e078a3cd9c5a12b4f92229bf3,7
PMC8192979,34122100,10.3389/fphar.2021.674379,Based on Plasma Metabonomics and Network Pharmacology Exploring the Therapeutic Mechanism of Gynura procumbens on Type 2 Diabetes,2021,Frontiers in Pharmacology,"Guo W, Ouyang H, Liu M, Wu J, He X, Yang S, He M, Feng Y.",research-article,type_2_diabetes,metabolic,Type 2 Diabetes,AKT1|MAPK1|CASP3|CASP8,medium,11.702127659574469,hub,protein–protein interaction network for gp in the treatment of t2dm and hub genes analysis,paragraph,28,"Based on the PPI network and hub ClueGO analysis, six hub targets were screened out: insulin (iNS), AKT serine/threonine kinase 1 (AKT1), mitogen-activated protein kinase 1 (MAPK1), nitric oxide synthase (NOS), endothelial (eNOS), caspase-3 (CASP3), and caspase-8 (CASP8) ( Figure 4D ; Supplementary Table S4 ).",,False,2,e34cab81a31d760b2c750fe59df2972296e07511c9bf1fb7ad53ac56c889e3dd,4
PMC10727557,38115366,10.1097/md.0000000000036434,Mechanism of Valeriana Jatamansi Jones for the treatment of spinal cord injury based on network pharmacology and molecular docking,2023,Medicine,"Wang Y, Lu J, Xiao H, Ding L, He Y, Chang C, Wang W.",research-article,spinal_cord_injury,neurological,spinal cord injury,AKT1|MTOR|IL6|MAPK1|ERBB2|IL2,medium,16.791044776119403,hub,3.7. molecular docking results,paragraph,31,"Twelve hub genes enriched in the PI3K/Akt signaling pathway were selected for molecular docking with 12 core ingredients of VJJ, including vascular endothelial growth factor A, epidermal growth factor receptor, AKT1, MTOR, IL6, mitogen-activated protein kinase 3, cyclin D1, heat shock protein 90 alpha family class A member 1, MAPK1, erb-b2 receptor tyrosine kinase 2, v-rel reticuloendotheliosis viral oncogene homolog A, and IL2.",,False,5,f319f35b48201dc752eb3aec31c4075d73e19a383dae707230fbe6055f2d4555,6
PMC9268138,35807303,10.3390/molecules27134057,"Molecular Networking, Network Pharmacology, and Molecular Docking Approaches Employed to Investigate the Changes in Ephedrae Herba before and after Honey-Processing",2022,Molecules,"Li H, Guo L, Ding X, An Q, Wang L, Hao S, Li W, Wang T, Gao Z, Zheng Y, Zhang D.",research-article,,,,TNF|IL6|IL1B|ALB|AKT1|IL10|CXCL8|CCL2|INS|IL4,high,18.0,core,2.3.3. construction of the ppi network,paragraph,173,"The top 10 core targets were TNF (degree = 85), IL6 (degree = 84), IL1B (degree = 79), ALB (degree = 76), AKT1 (degree = 74), IL10 (degree = 72), CXCL8 (degree = 71), CCL2 (degree = 67), INS (degree = 66), and IL4 (degree = 66) ( Table 3 ).",10,True,1,bab4600db84560f6b052d4010652a43fa13a753e0c269e19ff4e6432a7664344,10
PMC11972970,40196382,10.2147/ijgm.s502321,Evaluating the Mechanism Underlying Multi-Compound Synergy of Banxia Decoction in the Treatment of Hashimoto’s Thyroiditis Based on Network Pharmacology and Molecular Docking,2025,International Journal of General Medicine,"Chen J, Wen F, Zhou J, Tan M.",research-article,,,,HIF1A|EP300|PRKCA|TERT|SETD2,high,15.127659574468085,key,results,paragraph,2,"Further, 17 key targets in the PPI network were identified and HIF1A, EP300, PRKCA, and TERT were included for subnet analysis. Next, a network of “Chinese medicine-active compound-potential target-signal pathway” was obtained and the HIF-1 signaling pathway was identified as the key pathway.",,False,10,9085f614ed8023629519bd2961fb384156625914d3f037e6b956116a9b2e8826,5
PMC9412739,36034901,10.3389/fnut.2022.978122,Identification and chemical profiling of anti-alcoholic liver disease biomarkers of ginseng Huang jiu using UPLC-Q-Orbitrap-HRMS and network pharmacology-based analyses,2022,Frontiers in Nutrition,"Wu Y, Cai Y, Ma L, Li F, Zhang M, Wang Y, Zheng F, Pi Z, Yue H.",research-article,,,,MCC|GSTP1|HRAS|AKR1B1|GSTA1|AR|GSR|LDHB,medium,13.018867924528301,hub,collection of ingredient–disease targets and analysis of ppi network,paragraph,69,"After visualization of the PPI network by Cytoscape software, hub gene screening was performed using the Cytohubba plugin. The top seven ranked key gene intersections were extracted based on MCC, DEGREE, EPC, EcCentricity, Closeness, and Betweenness scores, namely, GSTP1, HRAS, AKR1B1, GSTA1, Androgen receptor (AR), GSR, and LDHB ( Figure 12B ) ( Supplementary Table 2 ).",,False,1,736772a27ce503a6d4eaff93c0d39ba5453c76bd6c1297806e84ca521d38f24f,8
