pmcid,title,stage,reason
PMC13275446,"Integrated meta-analysis, network pharmacology and experimental validation to explore the mechanism of traditional Chinese medicine against neonatal pneumonia: focus on naringenin/MAPK1.",metadata,title_pattern:\bmeta-analysis\b
PMC12298991,Network Pharmacology-Driven Sustainability: AI and Multi-Omics Synergy for Drug Discovery in Traditional Chinese Medicine.,metadata,publication_type:review-article review journal article
PMC13209968,"Effectiveness and Safety of Liuwei Dihuang as an Adjunctive Therapy for Cognitive Impairment: A Systematic Review, Meta-Analysis, and Network Pharmacology Analysis.",metadata,title_pattern:\bsystematic review\b
PMC13201944,Mechanistic Elucidation of Liujun Jiaoxian Tang in Management of Sepsis Through Metabolomics and Network Pharmacology.,metadata,no_intervention_signal
PMC12660193,Application of network pharmacology in traditional Chinese medicine for the treatment of cardiac diseases.,metadata,publication_type:review-article review journal article
PMC12537397,Evaluating efficacy and mechanism of traditional Chinese medicine in diabetes treatment: a meta-analysis and network pharmacology study.,metadata,title_pattern:\bmeta-analysis\b
PMC11725223,Network pharmacology: a crucial approach in traditional Chinese medicine research.,metadata,publication_type:review-article review journal article
PMC13085474,An integrated network pharmacology and proteomics approach reveals the anti-fibrotic effect of Fushen Granule on peritoneal fibrosis.,metadata,no_intervention_signal
PMC12030339,Trends and Pitfalls in the Progress of Network Pharmacology Research on Natural Products.,metadata,publication_type:editorial
PMC13225515,Analysis of the efficacy and mechanism of action of Buzhong Yiqi Decoction on gastric cancer using meta-analysis and network pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC13246036,Research on the mechanism of Duhuo in treating intervertebral disc degeneration based on bioinformatics and network pharmacology.,metadata,no_intervention_signal
PMC12663848,AI driven network pharmacology: Multi-scale mechanisms of traditional Chinese medicine from molecular to patient analysis.,metadata,publication_type:review-article review journal article
PMC12653797,NeXus: An Automated Platform for Network Pharmacology and Multi-Method Enrichment Analysis.,metadata,no_intervention_signal
PMC12964187,"Identification of Quality Markers in Viola kunawaresis Royel Using HPLC Fingerprints, Chemometric Analysis, and Network Pharmacology.",metadata,no_intervention_signal
PMC12728535,Traditional Chinese Medicine for Liver Cancer Treatment: Network Pharmacology Research.,metadata,publication_type:review-article review journal article
PMC13296294,Koumine’s Therapeutic Impact on Hepatocellular Carcinoma: A Combined Network Pharmacology and Experimental Study,metadata,no_intervention_signal
PMC11789858,Network pharmacology predicts targets and pathways of herbal components for the treatment of pneumonia: A review.,metadata,title_pattern:\breview\b
PMC13239056,Caffeoylquinic Acids From Lonicera japonica Thunb. as Hypoglycemic Agents: Network Pharmacology and Pharmacological Validation.,metadata,no_intervention_signal
PMC12295404,Network Pharmacology as a Tool to Investigate the Antioxidant and Anti-Inflammatory Potential of Plant Secondary Metabolites-A Review and Perspectives.,metadata,title_pattern:\breview\b
PMC13294263,"Protective effect of baicalein from Pinellia ternate on Alzheimer’s disease cell injury: a network pharmacology, molecular docking, and molecular dynamics study",metadata,no_intervention_signal
PMC13187882,Network Pharmacology Perspectives on Cerebral Palsy: Mechanistic Insights From Ayurvedic Formulations With Emphasis on Kalyanaka Ghritam.,metadata,publication_type:review-article review journal article
PMC12690495,"Network Pharmacology, Molecular Docking, and Molecular Dynamics Simulations to Elucidate the Potential Mechanism of Ermiao San in Osteoarthritis.",metadata,no_intervention_signal
PMC13209509,"Revealing the Pharmacological Mechanism of Tibetan Medicine Wugeng San in Treating Rheumatoid Arthritis Through an Integrated Strategy of Chemical Composition Analysis, Network Pharmacology, Machine Learning, and In Vivo Experiments.",metadata,no_intervention_signal
PMC13118977,Mechanism of Bao Jing Tablets in Chronic Prostatitis/Chronic Pelvic Pain Syndrome: Insights from Multi-Omics and Network Pharmacology.,metadata,no_intervention_signal
PMC12778088,Exploring the potential mechanism of the Chinese medicine Duhuo on rheumatoid arthritis based on network pharmacology.,metadata,no_intervention_signal
PMC12835472,"Processing-induced changes in neuroprotective components and mechanisms of gardeniae fructus: integrating UPLC-Q-TOF-MS/MS, network pharmacology, and in vitro analysis.",metadata,no_intervention_signal
PMC11949964,Integrated meta-analysis and network pharmacology analysis: evaluation of Zhigancao decoction as treatment for diabetic cardiomyopathy.,metadata,title_pattern:\bmeta-analysis\b
PMC12913513,Identification and validation of biomarkers of Shenggu Zaizao Wan in the treatment of steroid-induced osteonecrosis of the femoral head by integrating network pharmacology and bulk transcriptomic.,metadata,no_intervention_signal
PMC13300171,"Exploring Mechanistic Targets of Areca catechu Against Neurodegenerative Diseases Through an Integrated Network Pharmacology, Molecular Docking, and Experimental Approaches",metadata,no_intervention_signal
PMC12635753,Unveiling Yiyi Fuzi Baijiang powder: Microecological and network pharmacology approach to ulcerative colitis treatment.,metadata,no_intervention_signal
PMC11813061,The efficacy of Sijunzi on immune function in patients with gastrointestinal cancers after surgery: Integrating systematic review and network pharmacology.,metadata,title_pattern:\bsystematic review\b
PMC12894422,Characterization and Mechanism Prediction of Active Components in Fuganlin Oral Liquid for Respiratory Tract Infections Using UPLC-Q-TOF-MS and Network Pharmacology.,metadata,no_intervention_signal
PMC12908841,"Insights into the potential mechanism of Beiqishen Jiangtang Granule in the treatment of type 2 diabetes nephropathy: A study based on network pharmacology, molecular docking, and biological validation.",metadata,no_intervention_signal
PMC12504327,Integrated network pharmacology and experimental validation to investigate the therapeutic effects and mechanisms of SJZT on hypertensive nephropathy.,metadata,no_intervention_signal
PMC12325705,Integrating network pharmacology and experimental validation to explore the mechanism of Yiqi Ziyin in treating immune thrombocytopenia.,metadata,no_intervention_signal
PMC12719631,"Blood Stasis Constitution Ointment Exerts Anti-Lung Cancer Effects: A Study Integrating Network Pharmacology, Transcriptomics, and Experimental Validation.",metadata,no_intervention_signal
PMC12021452,Application of Network Pharmacology in the Treatment of Neurodegenerative Diseases with Traditional Chinese Medicine.,metadata,publication_type:research-article review journal article
PMC12303846,Exploration of the Potential Bioactive Compounds and Functional Mechanism of Chaihu Sanshen Capsule in Ameliorating Myocardial Ischaemia-Reperfusion Injury: A Serum Pharmaco-Chemistry With Network Pharmacology Analysis.,metadata,no_intervention_signal
PMC12944387,"Systematic Investigation of Tumor Immune Microenvironment Modulation by &lt;i&gt;Cynomorium songaricum&lt;/i&gt; Against Breast Cancer Through Integrated Chemomics, Network Pharmacology and Molecular Docking.",metadata,no_intervention_signal
