gene,article_count,article_share,edge_share,disease_count,disease_entropy,normalized_disease_entropy
AKT1,100,0.4830917874396135,0.05807200929152149,34,4.819438711172001,0.8583593533730451
TNF,77,0.3719806763285024,0.044715447154471545,30,4.70020754342816,0.837123853934226
IL6,68,0.3285024154589372,0.03948896631823461,28,4.630412660873997,0.8246931345396493
EGFR,65,0.3140096618357488,0.03774680603948897,24,4.342969205986262,0.7734984222805634
TP53,61,0.2946859903381642,0.03542392566782811,26,4.515311532225103,0.8041932099051587
ESR1,54,0.2608695652173913,0.0313588850174216,23,4.294246013232287,0.7648206465616557
PTGS2,53,0.2560386473429952,0.03077816492450639,20,4.102678595702846,0.7307018010918007
STAT3,47,0.22705314009661837,0.0272938443670151,19,3.92480087635729,0.6990211400631653
MAPK1,46,0.2222222222222222,0.026713124274099883,22,4.260332600569878,0.7587805458968007
SRC,43,0.20772946859903382,0.02497096399535424,14,3.6069367321753214,0.6424083937223863
CASP3,42,0.2028985507246377,0.024390243902439025,18,4.070656113151928,0.7249984818749616
MMP9,40,0.1932367149758454,0.023228803716608595,19,4.1429146733542535,0.7378679911120346
JUN,40,0.1932367149758454,0.023228803716608595,20,4.110577243331641,0.7321085786187059
IL1B,35,0.16908212560386474,0.02032520325203252,17,4.037401197654112,0.7190756619214654
VEGFA,34,0.1642512077294686,0.019744483159117306,17,4.037401197654112,0.7190756619214654
HSP90AA1,33,0.15942028985507245,0.01916376306620209,14,3.6292196865240967,0.6463770679669032
MAPK3,27,0.13043478260869565,0.0156794425087108,14,3.6901165175936645,0.6572230124164449
PPARG,24,0.11594202898550725,0.013937282229965157,10,3.2516291673878235,0.5791268396168084
MAPK8,23,0.1111111111111111,0.013356562137049941,9,3.0220552088742005,0.5382388926191127
HIF1A,21,0.10144927536231885,0.012195121951219513,9,3.0269868333592873,0.5391172326619655
CXCL8,20,0.0966183574879227,0.011614401858304297,11,3.4594316186372978,0.6161372029336719
RELA,20,0.0966183574879227,0.011614401858304297,11,3.392747410448785,0.6042605058219941
MYC,19,0.09178743961352658,0.011033681765389082,11,3.41829583405449,0.6088107718758102
ALB,17,0.0821256038647343,0.009872241579558653,8,2.9477027792200907,0.5249964577082439
MAPK14,14,0.06763285024154589,0.008130081300813009,8,3.0,0.5343107806620333
AR,13,0.06280193236714976,0.007549361207897794,7,2.6416041678685938,0.4704791950446497
TLR4,12,0.057971014492753624,0.006968641114982578,7,2.8073549220576037,0.49999999999999994
CCL2,12,0.057971014492753624,0.006968641114982578,6,2.584962500721156,0.46039111058080084
IL10,12,0.057971014492753624,0.006968641114982578,6,2.584962500721156,0.46039111058080084
BCL2,12,0.057971014492753624,0.006968641114982578,8,3.0,0.5343107806620333
EGF,11,0.05314009661835749,0.006387921022067364,5,2.2516291673878226,0.40102324606279716
HRAS,11,0.05314009661835749,0.006387921022067364,5,2.3219280948873626,0.4135437376734581
JAK2,11,0.05314009661835749,0.006387921022067364,6,2.5,0.4452589838850277
ICAM1,11,0.05314009661835749,0.006387921022067364,6,2.521640636343318,0.4491132589845682
MMP2,10,0.04830917874396135,0.005807200929152149,5,2.3219280948873626,0.4135437376734581
SETD2,10,0.04830917874396135,0.005807200929152149,5,2.2516291673878226,0.40102324606279716
PIK3CA,10,0.04830917874396135,0.005807200929152149,5,2.2516291673878226,0.40102324606279716
PIK3R1,10,0.04830917874396135,0.005807200929152149,4,2.0,0.3562071871080222
GSK3B,10,0.04830917874396135,0.005807200929152149,6,2.521640636343318,0.4491132589845682
CCND1,10,0.04830917874396135,0.005807200929152149,6,2.4056390622295662,0.42845296177698705
FOS,10,0.04830917874396135,0.005807200929152149,7,2.7254805569978684,0.4854178813629081
MCC,9,0.043478260869565216,0.005226480836236934,2,1.0,0.1781035935540111
CTNNB1,9,0.043478260869565216,0.005226480836236934,5,2.3219280948873626,0.4135437376734581
ERBB2,9,0.043478260869565216,0.005226480836236934,5,2.3219280948873626,0.4135437376734581
IL17A,9,0.043478260869565216,0.005226480836236934,7,2.8073549220576037,0.49999999999999994
NOS3,9,0.043478260869565216,0.005226480836236934,5,2.3219280948873626,0.4135437376734581
IGF1,8,0.03864734299516908,0.004645760743321719,5,2.3219280948873626,0.4135437376734581
IFNG,8,0.03864734299516908,0.004645760743321719,4,2.0,0.3562071871080222
IL2,8,0.03864734299516908,0.004645760743321719,5,2.3219280948873626,0.4135437376734581
PPARA,8,0.03864734299516908,0.004645760743321719,3,1.584962500721156,0.2822875170267898
STAT1,8,0.03864734299516908,0.004645760743321719,4,1.9219280948873625,0.34230230025185365
BCL2L1,7,0.033816425120772944,0.0040650406504065045,2,0.9182958340544894,0.1635517879907824
IL1A,7,0.033816425120772944,0.0040650406504065045,4,2.0,0.3562071871080222
MTOR,6,0.028985507246376812,0.003484320557491289,3,1.584962500721156,0.2822875170267898
TGFB1,6,0.028985507246376812,0.003484320557491289,4,2.0,0.3562071871080222
IL4,5,0.024154589371980676,0.0029036004645760743,1,0.0,0.0
INS,5,0.024154589371980676,0.0029036004645760743,2,1.0,0.1781035935540111
MDM2,5,0.024154589371980676,0.0029036004645760743,3,1.5219280948873626,0.2710608628302492
HYCC1,5,0.024154589371980676,0.0029036004645760743,1,0.0,0.0
GAPDH,5,0.024154589371980676,0.0029036004645760743,3,1.584962500721156,0.2822875170267898
PTPN11,5,0.024154589371980676,0.0029036004645760743,2,1.0,0.1781035935540111
NR3C1,5,0.024154589371980676,0.0029036004645760743,3,1.5,0.26715539033101665
EP300,4,0.01932367149758454,0.0023228803716608595,2,1.0,0.1781035935540111
CASP9,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
CDKN1A,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
VCAM1,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
RHOA,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
CYP3A4,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
MMP1,4,0.01932367149758454,0.0023228803716608595,1,0.0,0.0
APP,4,0.01932367149758454,0.0023228803716608595,1,0.0,0.0
