method	stratum	n_genomes	mean_recovery	median_recovery	minimum_recovery	recovered_50	recovered_90
metaspades_hybrid_pair	low	218	0.05959162179766825	0.0	0.0	5	2
metaspades_hybrid_pair	medium	74	0.22672596809980536	0.05977999453936459	0.0	15	3
metaspades_hybrid_pair	high	61	0.38223302493632233	0.20785598195184327	1.2336897461970325e-05	22	11
metaspades_hybrid_pair	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
metaspades_hybrid_pair	longitudinal_rescue_opportunity	68	0.19799248067539035	0.11430902557289399	0.0	8	1
metaspades_hybrid_pair	consistently_detectable	91	0.32126886073545624	0.09149690448148527	0.0	29	13
v4_balanced	low	218	0.060464888305919916	0.0	0.0	5	2
v4_balanced	medium	74	0.23046106000411395	0.05977999453936459	0.0	16	3
v4_balanced	high	61	0.39147457567531063	0.20785598195184327	1.6540176685738974e-05	25	11
v4_balanced	persistent_low	194	0.05419111450700343	0.0	0.0	5	2
v4_balanced	longitudinal_rescue_opportunity	68	0.20189775637050578	0.1175018539890669	0.0	10	1
v4_balanced	consistently_detectable	91	0.3282779072487457	0.09257195361346696	0.0	31	13
v4_consensus_strict	low	218	0.05959162179766825	0.0	0.0	5	2
v4_consensus_strict	medium	74	0.22824070072901992	0.05977999453936459	0.0	16	3
v4_consensus_strict	high	61	0.3899657458134879	0.20785598195184327	1.2336897461970325e-05	24	11
v4_consensus_strict	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
v4_consensus_strict	longitudinal_rescue_opportunity	68	0.19923354497263035	0.11430902557289399	0.0	9	1
v4_consensus_strict	consistently_detectable	91	0.32675670486574915	0.09149690448148527	0.0	31	13
v4_long_supported	low	218	0.05959162179766825	0.0	0.0	5	2
v4_long_supported	medium	74	0.22715931704889314	0.05977999453936459	0.0	15	3
v4_long_supported	high	61	0.38950806806972177	0.20785598195184327	1.2336897461970325e-05	24	11
v4_long_supported	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
v4_long_supported	longitudinal_rescue_opportunity	68	0.1985726105394234	0.11430902557289399	0.0	8	1
v4_long_supported	consistently_detectable	91	0.32606442801694646	0.09149690448148527	0.0	31	13
v4_multimodal_strict	low	218	0.05959162179766825	0.0	0.0	5	2
v4_multimodal_strict	medium	74	0.22693272809384585	0.05977999453936459	0.0	15	3
v4_multimodal_strict	high	61	0.3893254854813799	0.20785598195184327	1.2336897461970325e-05	24	11
v4_multimodal_strict	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
v4_multimodal_strict	longitudinal_rescue_opportunity	68	0.19832584527223143	0.11430902557289399	0.0	8	1
v4_multimodal_strict	consistently_detectable	91	0.32594217436427286	0.09149690448148527	0.0	31	13
v4_temporal_strict	low	218	0.05959162179766825	0.0	0.0	5	2
v4_temporal_strict	medium	74	0.22800350454260174	0.05977999453936459	0.0	15	3
v4_temporal_strict	high	61	0.3898371705471556	0.20785598195184327	1.2336897461970325e-05	24	11
v4_temporal_strict	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
v4_temporal_strict	longitudinal_rescue_opportunity	68	0.19896936323559147	0.11430902557289399	0.0	8	1
v4_temporal_strict	consistently_detectable	91	0.32667504276769893	0.09149690448148527	0.0	31	13
v4_ultra_strict	low	218	0.05959162179766825	0.0	0.0	5	2
v4_ultra_strict	medium	74	0.22672596809980536	0.05977999453936459	0.0	15	3
v4_ultra_strict	high	61	0.3886653011658531	0.20785598195184327	1.2336897461970325e-05	23	11
v4_ultra_strict	persistent_low	194	0.053535848966700356	0.0	0.0	5	2
v4_ultra_strict	longitudinal_rescue_opportunity	68	0.19812801520664555	0.11430902557289399	0.0	8	1
v4_ultra_strict	consistently_detectable	91	0.3254793277890389	0.09149690448148527	0.0	30	13
