method	tier	n_targets	mean_recovery	median_recovery	minimum_recovery	recovered_50	recovered_90
metaspades_hybrid_pair	exact_target_withheld	250	0.17541540932902308	0.015792230132896247	0.0	36	14
metaspades_hybrid_pair	species_neighbour_withheld	204	0.152230837496778	0.0016193428326171859	0.0	26	12
metaspades_hybrid_pair	genus_neighbour_withheld	147	0.14715782937430497	0.0015472962599711476	0.0	19	9
metaspades_hybrid_pair	deep_neighbour_withheld	73	0.10660031407178645	0.0005525203980052108	0.0	6	1
v4_balanced	exact_target_withheld	250	0.17914029367475914	0.015792230132896247	0.0	40	14
v4_balanced	species_neighbour_withheld	204	0.15496290546356667	0.0016193428326171859	0.0	28	12
v4_balanced	genus_neighbour_withheld	147	0.14984877254692602	0.0015472962599711476	0.0	20	9
v4_balanced	deep_neighbour_withheld	73	0.11175594186875153	0.0005525203980052108	0.0	7	1
v4_consensus_strict	exact_target_withheld	250	0.17765473361349815	0.015792230132896247	0.0	39	14
v4_consensus_strict	species_neighbour_withheld	204	0.1544484890251258	0.0016193428326171859	0.0	28	12
v4_consensus_strict	genus_neighbour_withheld	147	0.14969329579209037	0.0015472962599711476	0.0	20	9
v4_consensus_strict	deep_neighbour_withheld	73	0.11159487804307792	0.0005525203980052108	0.0	7	1
v4_long_supported	exact_target_withheld	250	0.17731879114250249	0.015792230132896247	0.0	38	14
v4_long_supported	species_neighbour_withheld	204	0.15419822534036912	0.0016193428326171859	0.0	27	12
v4_long_supported	genus_neighbour_withheld	147	0.14977253635202226	0.0015472962599711476	0.0	20	9
v4_long_supported	deep_neighbour_withheld	73	0.11174320696897376	0.0005525203980052108	0.0	7	1
v4_multimodal_strict	exact_target_withheld	250	0.17720717066025307	0.015792230132896247	0.0	38	14
v4_multimodal_strict	species_neighbour_withheld	204	0.15410621499680796	0.0016193428326171859	0.0	27	12
v4_multimodal_strict	genus_neighbour_withheld	147	0.1497591092743791	0.0015472962599711476	0.0	20	9
v4_multimodal_strict	deep_neighbour_withheld	73	0.11174320696897376	0.0005525203980052108	0.0	7	1
v4_temporal_strict	exact_target_withheld	250	0.17755315117733322	0.015792230132896247	0.0	38	14
v4_temporal_strict	species_neighbour_withheld	204	0.15434349900217417	0.0016193428326171859	0.0	27	12
v4_temporal_strict	genus_neighbour_withheld	147	0.14976284086643826	0.0015472962599711476	0.0	20	9
v4_temporal_strict	deep_neighbour_withheld	73	0.1117437570658269	0.0005525203980052108	0.0	7	1
v4_ultra_strict	exact_target_withheld	250	0.1769848847290286	0.015792230132896247	0.0	37	14
v4_ultra_strict	species_neighbour_withheld	204	0.1540359328495543	0.0016193428326171859	0.0	27	12
v4_ultra_strict	genus_neighbour_withheld	147	0.14966214051168084	0.0015472962599711476	0.0	20	9
v4_ultra_strict	deep_neighbour_withheld	73	0.11159432794622479	0.0005525203980052108	0.0	7	1
