genome_id	reference_path	truth_bp	n_truth_sequences	samples
ASV1.11	v4_hybrid_development/truth/references/ASV1.11.fasta	1021190	3769	S0,S1
ASV10.0	v4_hybrid_development/truth/references/ASV10.0.fasta	630991	2480	S0,S1
ASV101.4	v4_hybrid_development/truth/references/ASV101.4.fasta	4687516	11649	S0,S1
ASV102.10	v4_hybrid_development/truth/references/ASV102.10.fasta	13302415	186	S0,S1
ASV12.3	v4_hybrid_development/truth/references/ASV12.3.fasta	44743	185	S0
ASV124.5	v4_hybrid_development/truth/references/ASV124.5.fasta	4909245	14488	S0,S1
ASV128.1	v4_hybrid_development/truth/references/ASV128.1.fasta	37489	156	S1
ASV134.7	v4_hybrid_development/truth/references/ASV134.7.fasta	10270499	4458	S0,S1
ASV136.1	v4_hybrid_development/truth/references/ASV136.1.fasta	1270152	4882	S1
ASV137.1	v4_hybrid_development/truth/references/ASV137.1.fasta	8410062	8549	S0,S1
ASV139.5	v4_hybrid_development/truth/references/ASV139.5.fasta	22150	90	S0
ASV149.0	v4_hybrid_development/truth/references/ASV149.0.fasta	6892711	181	S0,S1
ASV150.14	v4_hybrid_development/truth/references/ASV150.14.fasta	12940481	201	S0,S1
ASV153.8	v4_hybrid_development/truth/references/ASV153.8.fasta	11539199	4838	S0,S1
ASV154.6	v4_hybrid_development/truth/references/ASV154.6.fasta	26700	107	S0
ASV156.5	v4_hybrid_development/truth/references/ASV156.5.fasta	144444	603	S0
ASV16.8	v4_hybrid_development/truth/references/ASV16.8.fasta	90880	384	S1
ASV165.4	v4_hybrid_development/truth/references/ASV165.4.fasta	112531	473	S1
ASV166.0	v4_hybrid_development/truth/references/ASV166.0.fasta	2963217	3577	S0,S1
ASV173.0	v4_hybrid_development/truth/references/ASV173.0.fasta	244138	1004	S0,S1
ASV174.18	v4_hybrid_development/truth/references/ASV174.18.fasta	10180640	2150	S0,S1
ASV178.5	v4_hybrid_development/truth/references/ASV178.5.fasta	114974	478	S0,S1
ASV19.14	v4_hybrid_development/truth/references/ASV19.14.fasta	168969	691	S0,S1
ASV219.11	v4_hybrid_development/truth/references/ASV219.11.fasta	23102	99	S1
ASV221.15	v4_hybrid_development/truth/references/ASV221.15.fasta	92651	387	S0,S1
ASV222.0	v4_hybrid_development/truth/references/ASV222.0.fasta	749376	2842	S0,S1
ASV225.7	v4_hybrid_development/truth/references/ASV225.7.fasta	9608	41	S1
ASV227.0	v4_hybrid_development/truth/references/ASV227.0.fasta	179401	755	S0,S1
ASV23.7	v4_hybrid_development/truth/references/ASV23.7.fasta	4509943	2953	S0,S1
ASV245.8	v4_hybrid_development/truth/references/ASV245.8.fasta	292906	1160	S0,S1
ASV250.4	v4_hybrid_development/truth/references/ASV250.4.fasta	18568	83	S1
ASV255.2	v4_hybrid_development/truth/references/ASV255.2.fasta	131903	555	S0,S1
ASV257.1	v4_hybrid_development/truth/references/ASV257.1.fasta	26860	111	S0,S1
ASV258.8	v4_hybrid_development/truth/references/ASV258.8.fasta	3151839	1909	S0,S1
ASV265.0	v4_hybrid_development/truth/references/ASV265.0.fasta	72200	296	S0
ASV266.11	v4_hybrid_development/truth/references/ASV266.11.fasta	2127133	370	S0,S1
ASV284.4	v4_hybrid_development/truth/references/ASV284.4.fasta	2255584	132	S0
ASV286.1	v4_hybrid_development/truth/references/ASV286.1.fasta	71278	304	S0,S1
ASV287.1	v4_hybrid_development/truth/references/ASV287.1.fasta	173881	712	S0
ASV290.6	v4_hybrid_development/truth/references/ASV290.6.fasta	4682174	618	S0,S1
ASV297.4	v4_hybrid_development/truth/references/ASV297.4.fasta	57837	246	S0,S1
ASV300.2	v4_hybrid_development/truth/references/ASV300.2.fasta	6209647	147	S0,S1
ASV300.8	v4_hybrid_development/truth/references/ASV300.8.fasta	6916082	192	S0,S1
ASV305.7	v4_hybrid_development/truth/references/ASV305.7.fasta	1503078	5179	S0,S1
ASV309.7	v4_hybrid_development/truth/references/ASV309.7.fasta	525018	2109	S0,S1
