output_id	origin	original_id	length	sequence_sha256
BASE_00000001	baseline	k141_7205	1176	418c4a05792dbf0afb5ef2b979bf26c60d29fa24beb98df9755fc735a98f839f
BASE_00000002	baseline	k141_14410	1427	e4ed3faca4b3bc2e448434316a42ffc5cc658d412f43c91973d4621278b2a73f
BASE_00000003	baseline	k141_7206	1290	7d8f1152c44961df09227ac2f2494935e38fd473350e465479cf78331f83c81a
BASE_00000004	baseline	k141_4	1058	03849fc44289adef8ce9dfd74f1b863b39cb763050e67fe682e0e76457c9d34b
BASE_00000005	baseline	k141_14412	1706	698c74ab91547749d0ebd8b94706b01eafb92a4727f3da47588fa6ddfaf5f8b7
BASE_00000006	baseline	k141_7209	1151	fd4b68a6f5a2ac2f11dc73c7dc0d82c392c97fafa277c9591d9b54a610741f44
BASE_00000007	baseline	k141_5	1658	b1e23d848b8d5b9e8ecc656e12ca12d99e49e6c776e1f7ce36f02f784a997288
BASE_00000008	baseline	k141_6	1382	53a09825b6fea78a69afc83fa66655e145af112e6f10dcd4bcb642683bbbd3c7
BASE_00000009	baseline	k141_7210	2479	1266ee31e67f6aa2d8687fe74a7bbeadb024e49719769b1645cc0468e90c8fcf
BASE_00000010	baseline	k141_14415	4053	d5020248045d9677ef2f707f6a72c2c89df0790bb4978e2a4983547e0f3e32d0
BASE_00000011	baseline	k141_21620	6960	8768eecfb60d2df040274ddfed5a579d9f5cf134d4245903766cea5c62f2b525
BASE_00000012	baseline	k141_9	3315	af41c57301ebf7f5e9010b8352eddea8d27049b7de5b2ce78eb080446cb91421
BASE_00000013	baseline	k141_7212	3184	cf23cb6794d19ab473702ae3abd82150159d449dcb75a67c406fdd6cd07f83ba
BASE_00000014	baseline	k141_14417	1446	9d5295c6f967e8ed4d8ad3f653312e102c7418552b5fe99b7a5e4801658a2a45
BASE_00000015	baseline	k141_21622	1401	b3e06ec1e1c3c7895d6eb2b2580725b62f02a4cfd38454a516925bd7a71e9ca0
BASE_00000016	baseline	k141_10	1694	f8c311e954a32cefff59c62df7a40582e8f84c9d8aef5ed5c645398f546e1a15
BASE_00000017	baseline	k141_7214	1185	d3e3402eb8dcc6b3d7155811eedf482c8a46ba9520ce26d2a3be7f2bbdb0e881
BASE_00000018	baseline	k141_21623	1389	e05e802e604bd7a35f4a711e75e41437386f54a35dba1dbea507e23ddf782dc9
BASE_00000019	baseline	k141_7215	1627	27e4207b66d806ef171b69fdc1278d8a4e2e32ff6346207da1460d4922a23a47
