id,name,workflow_id,head_branch,head_sha,status,conclusion,run_number,run_attempt,created_at,updated_at,html_url
32368791937,LANTERN global versus pair coassembly finalizer,338579049,lantern-global-coassembly-dev-20260820,ccafd805ee25caa96e763023c2f5f400c847da76,completed,failure,4,1,2026-08-20T12:25:46Z,2026-08-20T13:31:46Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32368791937
32368087436,LANTERN v7 official Toy holdout 18-19 finalizer,338567859,lantern-v7-holdout-18-19-20260820,466e8b092c4a5b55c368e41c7818a9efd94926b8,completed,failure,3,1,2026-08-20T12:17:32Z,2026-08-20T12:53:59Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32368087436
32367365878,LANTERN global coassembly pivot audit,338533545,lantern-global-coassembly-dev-20260820,9f9494a0ec4f7b0ff83171a0e31178518a2029a9,completed,failure,2,1,2026-08-20T12:09:15Z,2026-08-20T14:13:18Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32367365878
32366268605,LANTERN v7 untouched official Toy holdout 18-19,338511051,lantern-v7-holdout-18-19-20260820,1a0cb8b3873df43a5ad54ac41e9f50cdc6f6207c,completed,failure,3,1,2026-08-20T11:56:22Z,2026-08-20T14:34:49Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366268605
32366100887,CAMI III Toy source archive metadata check,337887140,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,cancelled,53,1,2026-08-20T11:54:24Z,2026-08-20T12:37:34Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100887
32366100874,CAMI III LANTERN Toy gold metadata inspection,337861116,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,cancelled,71,1,2026-08-20T11:54:24Z,2026-08-20T12:37:32Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100874
32366100809,CAMI III LANTERN v5 precision-filter holdout 14-15,338354763,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,failure,8,1,2026-08-20T11:54:24Z,2026-08-20T13:36:33Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100809
32366100753,CAMI III LANTERN metaMDBG long-read development benchmark,338343933,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,failure,13,1,2026-08-20T11:54:24Z,2026-08-20T13:59:49Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100753
32366100709,Repair LANTERN v4 holdout input lifetime and dispatch validation,338414425,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,failure,6,2,2026-08-20T11:54:24Z,2026-08-20T13:35:08Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100709
32366100703,CAMI III LANTERN metaMDBG holdout 14-15 baseline,338346025,lantern-final-orchestrator-20260820,84ea91824a30a5c8bed546620394d2983de05789,completed,failure,12,1,2026-08-20T11:54:24Z,2026-08-20T12:42:48Z,https://github.com/ByungwoongYoo/ntg-optn-tbk1-tkm-triage/actions/runs/32366100703
