cohort,metric,value
full12,rows,706.0
full12,patients,12.0
full12,three_class_accuracy,0.6572237960339944
full12,non_review_prediction_coverage,0.7422096317280453
full12,accept_vs_reject_auc_actual_review_excluded,0.942182506805539
full12,accept_vs_reject_auc_repository_script_conditioned_on_pred_nonreview,0.9483528948769591
full12,pooled_accept_precision,0.6269430051813472
full12,pooled_accept_recall,0.852112676056338
full12,pooled_accept_set_jaccard,0.5654205607476636
full12,pooled_overselected_accept_count,72.0
full12,pooled_omitted_accept_count,21.0
full12,expert_accept_auto_reject_count,0.0
full12,expert_accept_auto_reject_rate,0.0
no_calibration8,rows,536.0
no_calibration8,patients,8.0
no_calibration8,three_class_accuracy,0.6343283582089553
no_calibration8,non_review_prediction_coverage,0.7332089552238806
no_calibration8,accept_vs_reject_auc_actual_review_excluded,0.9357219251336898
no_calibration8,accept_vs_reject_auc_repository_script_conditioned_on_pred_nonreview,0.939289446185998
no_calibration8,pooled_accept_precision,0.5723684210526315
no_calibration8,pooled_accept_recall,0.87
no_calibration8,pooled_accept_set_jaccard,0.5272727272727272
no_calibration8,pooled_overselected_accept_count,65.0
no_calibration8,pooled_omitted_accept_count,13.0
no_calibration8,expert_accept_auto_reject_count,0.0
no_calibration8,expert_accept_auto_reject_rate,0.0
