ligand_std,system,grid_category,run_mode,n_poses,mean_pairwise_rmsd,median_pairwise_rmsd,max_pairwise_rmsd,pose_cluster_low_rmsd
Acacetin,E50K_AC,blind,core6_blind_seed10,10,2.0444575268459606,2.759023490122478,3.084019347107494,False
Acacetin,E50K_BD,blind,core6_blind_seed10,10,2.5247261980190725,1.1495718871864975,6.222594157392804,True
Acacetin,WT_AC,blind,core6_blind_seed10,10,10.430309488613807,11.819579694001694,19.05334873204083,False
Acacetin,WT_BD,blind,core6_blind_seed10,10,4.479438309339369,1.0597539471836979,14.022051021770775,True
Amlexanox,E50K_AC,blind,core6_blind_seed10,10,4.564628070208811,2.76726720298696,8.544149827380561,False
Amlexanox,E50K_BD,blind,core6_blind_seed10,10,4.690497145194997,5.987806534191723,7.801755350269229,False
Amlexanox,WT_AC,blind,core6_blind_seed10,10,5.376181157622048,6.997275093011045,8.298352267988891,False
Amlexanox,WT_BD,blind,core6_blind_seed10,10,5.5743916396442454,7.927272172122584,9.546082692535576,False
Berberine,E50K_AC,blind,core6_blind_seed10,10,5.658835531636032,7.455482227193624,8.587891552645504,False
Berberine,E50K_BD,blind,core6_blind_seed10,10,4.258830768588224,7.736316904057123,7.825060894331749,False
Berberine,WT_AC,blind,core6_blind_seed10,10,0.21944206244346667,0.06313762744988104,0.5407444867957513,True
Berberine,WT_BD,blind,core6_blind_seed10,10,5.909828178169242,7.3202128985433195,8.60801131969516,False
Coptisine,E50K_AC,blind,core6_blind_seed10,10,3.3626712402636687,1.7897220105368323,8.68712886737231,True
Coptisine,E50K_AC,blind,focused_blind_seed3,3,6.426626853621347,9.295094355805826,9.489512164753254,False
Coptisine,E50K_AC,sidechain,focused_sidechain_seed3,3,0.21832194999361887,0.2580745208914139,0.30627561117398744,True
Coptisine,E50K_BD,blind,core6_blind_seed10,10,1.5274357247237342,0.055167547827806515,7.420623064586064,True
Coptisine,E50K_BD,blind,focused_blind_seed3,3,0.237534697642656,0.23406177959390673,0.34054050175174916,True
Coptisine,E50K_BD,sidechain,focused_sidechain_seed3,3,12.696152266789156,18.935684751283752,18.97171059542778,False
Coptisine,WT_AC,blind,core6_blind_seed10,10,0.08732910980286508,0.07723826771749873,0.1746576413062614,True
Coptisine,WT_AC,blind,focused_blind_seed3,3,0.25097436591045,0.20115686250618714,0.36443798054904575,True
Coptisine,WT_AC,sidechain,focused_sidechain_seed3,3,0.4793377615181386,0.6186292979914,0.7039532714131908,True
Coptisine,WT_BD,blind,core6_blind_seed10,10,4.668268768950256,0.1273147346801098,16.565599747669868,True
Coptisine,WT_BD,blind,focused_blind_seed3,3,11.242154761815451,16.633913124497592,16.701746435627623,False
Coptisine,WT_BD,sidechain,focused_sidechain_seed3,3,0.26163773235228116,0.3623058100555397,0.384393624210045,True
