difference,ordered_multiplicity
1,2
2,2
3,2
4,2
5,2
6,1
7,2
8,2
9,2
10,2
11,2
12,1
13,1
14,2
15,0
16,2
17,2
18,1
19,2
20,1
21,2
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,1
33,2
34,2
35,2
36,1
37,1
38,1
39,2
40,1
41,1
42,2
43,1
44,2
45,1
46,1
47,2
48,0
49,2
50,0
51,2
52,0
53,2
54,1
55,1
56,2
57,1
58,2
59,1
60,1
61,2
62,1
63,1
64,1
65,2
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,1
81,2
82,1
83,2
84,2
85,0
86,2
87,1
88,1
89,2
90,2
91,2
92,2
93,2
94,1
95,2
96,2
97,2
98,2
99,2
