gap,third,status,completed_exhaustively,timed_out,witness_found,witness_verified,aggregate_nodes,wall_seconds,audit_status,coverage_ok
2,4,EXHAUSTED_NO_WITNESS,True,False,False,False,395631922,591.653825657,EXHAUSTED_NO_WITNESS,True
2,5,EXHAUSTED_NO_WITNESS,True,False,False,False,435247160,626.454620606,EXHAUSTED_NO_WITNESS,True
2,6,EXHAUSTED_NO_WITNESS,True,False,False,False,345705657,391.64279048,EXHAUSTED_NO_WITNESS,True
2,7,EXHAUSTED_NO_WITNESS,True,False,False,False,287758461,400.266369464,EXHAUSTED_NO_WITNESS,True
2,8,EXHAUSTED_NO_WITNESS,True,False,False,False,222427634,245.156628148,EXHAUSTED_NO_WITNESS,True
2,9,EXHAUSTED_NO_WITNESS,True,False,False,False,183997731,246.223140957,EXHAUSTED_NO_WITNESS,True
2,10,EXHAUSTED_NO_WITNESS,True,False,False,False,140442515,154.821607034,EXHAUSTED_NO_WITNESS,True
2,11,EXHAUSTED_NO_WITNESS,True,False,False,False,115873530,157.134049994,EXHAUSTED_NO_WITNESS,True
2,12,EXHAUSTED_NO_WITNESS,True,False,False,False,87962973,118.112994374,EXHAUSTED_NO_WITNESS,True
2,13,EXHAUSTED_NO_WITNESS,True,False,False,False,71411385,89.74646144,EXHAUSTED_NO_WITNESS,True
2,14,EXHAUSTED_NO_WITNESS,True,False,False,False,53828172,67.375913113,EXHAUSTED_NO_WITNESS,True
2,15,EXHAUSTED_NO_WITNESS,True,False,False,False,43869505,51.682081615,EXHAUSTED_NO_WITNESS,True
2,16,EXHAUSTED_NO_WITNESS,True,False,False,False,31869093,39.388247575,EXHAUSTED_NO_WITNESS,True
2,17,EXHAUSTED_NO_WITNESS,True,False,False,False,26153759,30.192037569,EXHAUSTED_NO_WITNESS,True
2,18,EXHAUSTED_NO_WITNESS,True,False,False,False,18727107,21.186286363,EXHAUSTED_NO_WITNESS,True
2,19,EXHAUSTED_NO_WITNESS,True,False,False,False,14876347,17.127888444,EXHAUSTED_NO_WITNESS,True
2,20,EXHAUSTED_NO_WITNESS,True,False,False,False,10637442,9.339464951,EXHAUSTED_NO_WITNESS,True
2,21,EXHAUSTED_NO_WITNESS,True,False,False,False,8037665,8.974518126,EXHAUSTED_NO_WITNESS,True
2,22,EXHAUSTED_NO_WITNESS,True,False,False,False,5452372,5.918880377,EXHAUSTED_NO_WITNESS,True
2,23,EXHAUSTED_NO_WITNESS,True,False,False,False,4018927,4.212248373,EXHAUSTED_NO_WITNESS,True
2,24,EXHAUSTED_NO_WITNESS,True,False,False,False,2580627,2.664290533,EXHAUSTED_NO_WITNESS,True
2,25,EXHAUSTED_NO_WITNESS,True,False,False,False,1843500,1.488208418,EXHAUSTED_NO_WITNESS,True
2,26,EXHAUSTED_NO_WITNESS,True,False,False,False,1106082,1.090100235,EXHAUSTED_NO_WITNESS,True
2,27,EXHAUSTED_NO_WITNESS,True,False,False,False,745634,0.712746575,EXHAUSTED_NO_WITNESS,True
2,28,EXHAUSTED_NO_WITNESS,True,False,False,False,406864,0.414653862,EXHAUSTED_NO_WITNESS,True
2,29,EXHAUSTED_NO_WITNESS,True,False,False,False,245547,0.226680852,EXHAUSTED_NO_WITNESS,True
2,30,EXHAUSTED_NO_WITNESS,True,False,False,False,122622,0.123993719,EXHAUSTED_NO_WITNESS,True
2,31,EXHAUSTED_NO_WITNESS,True,False,False,False,60077,0.04196727,EXHAUSTED_NO_WITNESS,True
2,32,EXHAUSTED_NO_WITNESS,True,False,False,False,26125,0.022785152,EXHAUSTED_NO_WITNESS,True
2,33,EXHAUSTED_NO_WITNESS,True,False,False,False,10682,0.008949628,EXHAUSTED_NO_WITNESS,True
2,34,EXHAUSTED_NO_WITNESS,True,False,False,False,4116,0.003699585,EXHAUSTED_NO_WITNESS,True
2,35,EXHAUSTED_NO_WITNESS,True,False,False,False,1529,0.001545696,EXHAUSTED_NO_WITNESS,True
2,36,EXHAUSTED_NO_WITNESS,True,False,False,False,535,0.000694667,EXHAUSTED_NO_WITNESS,True
2,37,EXHAUSTED_NO_WITNESS,True,False,False,False,179,0.000362296,EXHAUSTED_NO_WITNESS,True
2,38,EXHAUSTED_NO_WITNESS,True,False,False,False,53,0.000263637,EXHAUSTED_NO_WITNESS,True
2,39,EXHAUSTED_NO_WITNESS,True,False,False,False,12,0.000237996,EXHAUSTED_NO_WITNESS,True
2,40,EXHAUSTED_NO_WITNESS,True,False,False,False,2,0.000226699,EXHAUSTED_NO_WITNESS,True
3,6,EXHAUSTED_NO_WITNESS,True,False,False,False,67600576,89.745651561,EXHAUSTED_NO_WITNESS,True
3,7,EXHAUSTED_NO_WITNESS,True,False,False,False,71984019,94.051050995,EXHAUSTED_NO_WITNESS,True
3,8,EXHAUSTED_NO_WITNESS,True,False,False,False,58490322,73.391009266,EXHAUSTED_NO_WITNESS,True
3,9,EXHAUSTED_NO_WITNESS,True,False,False,False,45940484,45.703345326,EXHAUSTED_NO_WITNESS,True
3,10,EXHAUSTED_NO_WITNESS,True,False,False,False,35585704,34.798633676,EXHAUSTED_NO_WITNESS,True
3,11,EXHAUSTED_NO_WITNESS,True,False,False,False,27193212,34.085976891,EXHAUSTED_NO_WITNESS,True
3,12,EXHAUSTED_NO_WITNESS,True,False,False,False,20413381,19.072377504,EXHAUSTED_NO_WITNESS,True
3,13,EXHAUSTED_NO_WITNESS,True,False,False,False,15548745,17.898069724,EXHAUSTED_NO_WITNESS,True
3,14,EXHAUSTED_NO_WITNESS,True,False,False,False,11543571,10.446150144,EXHAUSTED_NO_WITNESS,True
3,15,EXHAUSTED_NO_WITNESS,True,False,False,False,8515647,9.285205583,EXHAUSTED_NO_WITNESS,True
3,16,EXHAUSTED_NO_WITNESS,True,False,False,False,6208587,6.812486253,EXHAUSTED_NO_WITNESS,True
3,17,EXHAUSTED_NO_WITNESS,True,False,False,False,4480718,4.869446417,EXHAUSTED_NO_WITNESS,True
3,18,EXHAUSTED_NO_WITNESS,True,False,False,False,3148226,3.431212385,EXHAUSTED_NO_WITNESS,True
3,19,EXHAUSTED_NO_WITNESS,True,False,False,False,2168874,2.218171442,EXHAUSTED_NO_WITNESS,True
3,20,EXHAUSTED_NO_WITNESS,True,False,False,False,1478252,1.482211522,EXHAUSTED_NO_WITNESS,True
3,21,EXHAUSTED_NO_WITNESS,True,False,False,False,937471,0.950371595,EXHAUSTED_NO_WITNESS,True
3,22,EXHAUSTED_NO_WITNESS,True,False,False,False,590286,0.576787017,EXHAUSTED_NO_WITNESS,True
3,23,EXHAUSTED_NO_WITNESS,True,False,False,False,365087,0.278399116,EXHAUSTED_NO_WITNESS,True
3,24,EXHAUSTED_NO_WITNESS,True,False,False,False,211727,0.188677102,EXHAUSTED_NO_WITNESS,True
3,25,EXHAUSTED_NO_WITNESS,True,False,False,False,117821,0.101814865,EXHAUSTED_NO_WITNESS,True
3,26,EXHAUSTED_NO_WITNESS,True,False,False,False,60352,0.053896721,EXHAUSTED_NO_WITNESS,True
3,27,EXHAUSTED_NO_WITNESS,True,False,False,False,28953,0.029407994,EXHAUSTED_NO_WITNESS,True
3,28,EXHAUSTED_NO_WITNESS,True,False,False,False,12762,0.011004281,EXHAUSTED_NO_WITNESS,True
3,29,EXHAUSTED_NO_WITNESS,True,False,False,False,5108,0.004530645,EXHAUSTED_NO_WITNESS,True
3,30,EXHAUSTED_NO_WITNESS,True,False,False,False,1936,0.002011964,EXHAUSTED_NO_WITNESS,True
3,31,EXHAUSTED_NO_WITNESS,True,False,False,False,642,0.000802015,EXHAUSTED_NO_WITNESS,True
3,32,EXHAUSTED_NO_WITNESS,True,False,False,False,190,0.0004004,EXHAUSTED_NO_WITNESS,True
3,33,EXHAUSTED_NO_WITNESS,True,False,False,False,53,0.000281883,EXHAUSTED_NO_WITNESS,True
3,34,EXHAUSTED_NO_WITNESS,True,False,False,False,12,0.000178987,EXHAUSTED_NO_WITNESS,True
3,35,EXHAUSTED_NO_WITNESS,True,False,False,False,2,0.000156994,EXHAUSTED_NO_WITNESS,True
