curated_species_label	run_count
Panax ginseng	1000
Ziziphus jujuba	710
Panax notoginseng	555
Salvia miltiorrhiza	519
Morus alba	483
Glycyrrhiza uralensis	416
Dendrobium officinale	393
Astragalus membranaceus	206
Ganoderma lingzhi/lucidum	203
Paeonia lactiflora	191
Zingiber officinale	188
Platycodon grandiflorus	180
Scutellaria baicalensis	170
Ophiocordyceps sinensis	163
Eucommia ulmoides	157
Artemisia annua	154
Cordyceps militaris	154
Panax quinquefolius	141
Schisandra chinensis	137
Bupleurum chinense	121
Coptis chinensis	113
Forsythia suspensa	111
Angelica sinensis	89
Lonicera japonica	84
Gardenia jasminoides	49
Rehmannia glutinosa	43
Atractylodes macrocephala	37
Cinnamomum cassia	34
Pueraria lobata	28
Wolfiporia cocos	23
Curcuma longa	21
Houttuynia cordata	20
Sanghuangporus/Phellinus	18
Inonotus obliquus	16
Ephedra sinica	14
Hericium erinaceus	11
Cornus officinalis	10
