rank	screen_priority_score	project_accession	species_labels	scientific_names	run_count	total_fastq_gb	total_fastq_bytes	total_read_count	total_base_count	estimated_mean_read_length	paired_runs	illumina_runs	fastq_available_runs	earliest_year	latest_year	unique_sample_titles	explicit_virus_target	priority_reasons	sample_title_examples	centers	countries	run_accessions	search_text
1	101.644	SRP528589	Astragalus membranaceus	Astragalus mongholicus	4	11.806	11806157472	96760134	29028040200	300.0	4	4	4	2024	2024	4	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	0h-1 || 12h-2 || 24h-3 || 48h-4	SUB14684657	China:Shanxi	SRR30397755;SRR30397756;SRR30397757;SRR30397758	Astragalus mongholicus Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: 48h-4 | 48h-4 | 48h-4 | Astragalus mongholicus Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: 24h-3 | 24h-3 | 24h-3 | Astragalus mongholicus Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: 12h-2 | 12h-2 | 12h-2 | Astragalus mongholicus Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: 0h-1 | 0h-1 | 0h-1
2	101.0	DRP016686	Cordyceps militaris	Cordyceps militaris	3	4.593	4593034247	68626142	20725094884	302.0	3	3	3	2026	2026	3	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	WT (SAMC5994100) || ozf (SAMC5994101) || wc-1 (SAMC5994102)	Chongqing University of education	missing: data agreement established pre-2023	DRR872991;DRR872992;DRR872993	Transcriptome Data of Cordyceps militaris ozf and wc-1 Mutants (PRJCA048273) | Illumina HiSeq 2500 paired end sequencing: WT (CRX2069199 CRA031452) | WT (SAMC5994100) | WT (SAMC5994100) | Transcriptome Data of Cordyceps militaris ozf and wc-1 Mutants (PRJCA048273) | Illumina HiSeq 2500 paired end sequencing: ozf (CRX2069200 CRA031452) | ozf (SAMC5994101) | ozf (SAMC5994101) | Transcriptome Data of Cordyceps militaris ozf and wc-1 Mutants (PRJCA048273) | Illumina HiSeq 2500 paired end sequencing: wc1 (CRX2069201 CRA031452) | wc-1 (SAMC5994102) | wc-1 (SAMC5994102)
3	101.0	SRP348858	Morus alba	Morus alba	3	9.21	9209703281	67306059	20191817700	300.0	3	3	3	2025	2025	3	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Leaf_3_2 || Leaf_CK_2 || Leaf_CK_3	SUB10748284	China:Jinan	SRR17090438;SRR17090440;SRR17090441	Mulberry insect resistant transcriptome | Illumina HiSeq 4000 sequencing: Leaf2_2 | Leaf_3_2 | Leaf5 | Mulberry insect resistant transcriptome | Illumina HiSeq 4000 sequencing: Leaf1_3 | Leaf_CK_3 | Leaf3 | Mulberry insect resistant transcriptome | Illumina HiSeq 4000 sequencing: Leaf1_2 | Leaf_CK_2 | Leaf2
4	100.17	SRP494660	Houttuynia cordata	Houttuynia cordata	2	4.453	4452627053	39638692	11890636136	299.98	2	2	2	2024	2024	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Leaf transcriptome data || Root transcriptome data	SUB14306381	Hong Kong	SRR28296052;SRR28296053	Houttuynia cordata isolate:field collection Genome sequencing | Illumina NovaSeq 6000 sequencing: RNA-seq of root | Root transcriptome data | Root transcriptome data | Houttuynia cordata isolate:field collection Genome sequencing | Illumina NovaSeq 6000 sequencing: RNA-seq of leaf | Leaf transcriptome data | Leaf transcriptome data
5	100.17	SRP527334	Cordyceps militaris	Cordyceps militaris	2	6.996	6996343263	46736439	14020931700	300.0	2	2	2	2025	2025	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Microbe sample from Cordyceps militaris || Microbe sample from Cordyceps militaris2	SUB14670543	Thailand	SRR30296675;SRR30296676	Cordyceps militaris strain:TBRC6039 Raw sequence reads | Illumina NovaSeq 6000 sequencing: Light_2_RNA_Seq of Cordyceps militaris: Light condition | Microbe sample from Cordyceps militaris2 | Microbe sample from Cordyceps militaris2 | Cordyceps militaris strain:TBRC6039 Raw sequence reads | Illumina NovaSeq 6000 sequencing: Light_1_RNA_Seq of Cordyceps militaris: Light condition | Microbe sample from Cordyceps militaris | Microbe sample from Cordyceps militaris
6	100.17	SRP558993	Ziziphus jujuba	Ziziphus jujuba	2	9.33	9329744969	54572055	16371616500	300.0	2	2	2	2025	2025	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	DZCK1 || DZT1	SUB15007778	China:Shandong	SRR32076165;SRR32076166	Transcriptome of Ziziphus jujuba | Illumina HiSeq X sequencing: 3DZT-1 | DZT1 | DZT1 | Transcriptome of Ziziphus jujuba | Illumina HiSeq X sequencing: 1DZCK-1 | DZCK1 | DZCK1
7	99.401	SRP718759	Salvia miltiorrhiza	Salvia miltiorrhiza	12	8.453	8453497141	59146597	17550586646	296.73	12	12	3	2026	2026	12	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; multiple biological/sample labels	1 || 10 || 11 || 12 || 2 || 3 || 4 || 5	SUB16331717	China: Yangling	SRR39676924;SRR39676925;SRR39676926;SRR39676927;SRR39676928;SRR39676929;SRR39676930;SRR39676931;SRR39676932;SRR39676933;SRR39676934;SRR39676935	Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 10 | 10 | 10 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 9 | 9 | 9 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 8 | 8 | 8 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 7 | 7 | 7 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 6 | 6 | 6 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 5 | 5 | 5 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 4 | 4 | 4 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 3 | 3 | 3 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 12 | 12 | 12 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 11 | 11 | 11 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 2 | 2 | 2 | Transcriptome sequencing of Salvia miltiorrhiza hairy roots treated with lipopolysaccharide | Illumina NovaSeq 6000 sequencing: 1 | 1 | 1
8	97.615	SRP718762	Salvia miltiorrhiza	Salvia miltiorrhiza	6	5.199	5198841357	39964458	11805092252	295.39	6	6	2	2026	2026	6	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; multiple biological/sample labels	1 || 2 || 3 || 4 || 5 || 6	SUB16337119	China: Yangling	SRR39677244;SRR39677245;SRR39677246;SRR39677247;SRR39677248;SRR39677249	Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 6 | 6 | 6 | Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 5 | 5 | 5 | Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 4 | 4 | 4 | Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 3 | 3 | 3 | Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 2 | 2 | 2 | Transcriptome sequencing of SmWRKY17-overexpressing Salvia miltiorrhiza hairy roots | Illumina NovaSeq 6000 sequencing: 1 | 1 | 1
9	97.0	SRP515193	Gardenia jasminoides	Gardenia jasminoides	2	7.634	7633528768	56243356	16807231774	298.83	2	2	2	2025	2025	0	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available		SUB14552334	China:Wenzhou	SRR29484294;SRR29484295	Gardenia jasminoides Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of leafs :Gardenia jasminoides | Biological replicate 2 | Gardenia jasminoides Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of leafs :Gardenia jasminoides | Biological replicate 1
10	97.0	SRP578921	Astragalus membranaceus	Astragalus membranaceus	3	7.962	7961658554	66615393	20117848686	302.0	3	3	3	2025	2025	0	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available		SUB15019416	China:Hebei	SRR33154823;SRR33154826;SRR33154830	RNA-seq of Astragalus membranaceus: roots | Illumina NovaSeq 6000 sequencing: RNAseq of Astragalus membranaceus | RNA-seq of Astragalus membranaceus: roots | Illumina NovaSeq 6000 sequencing: RNAseq of Astragalus membranaceus | RNA-seq of Astragalus membranaceus: roots | Illumina NovaSeq 6000 sequencing: RNAseq of Astragalus membranaceus
