assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
k141_10	1694	2	ASV153.8	1694	ASV102.10	1694	1000	true	true
k141_1000	3428	2	ASV102.10	3428	ASV153.8	3426	1000	true	true
k141_10000	1494	1	ASV300.8	1494		0	1000	false	true
k141_10006	1025	1	ASV102.10	1025		0	1000	false	true
k141_10007	1258	1	ASV102.10	1258		0	1000	false	true
k141_10008	1193	1	ASV579.0	1193		0	1000	false	true
k141_1001	2145	2	ASV486.6	2145	ASV476.8	2145	1000	true	true
k141_10018	3190	2	ASV153.8	3190	ASV102.10	3190	1000	true	true
k141_10020	2518	1	ASV300.8	2518		0	1000	false	true
k141_10022	1059	1	ASV579.0	1059		0	1000	false	true
k141_10025	2169	2	ASV507.11	2169	ASV507.9	2062	1000	true	true
k141_10026	1593	1	ASV551.0	1593		0	1000	false	true
k141_10028	1181	2	ASV476.8	1181	ASV486.6	1157	1000	true	true
k141_10029	1553	2	ASV153.8	1402	ASV102.10	1402	1000	true	true
k141_10030	1157	1	ASV300.8	1157		0	1000	false	true
k141_10033	1778	1	ASV476.8	1778		0	1000	false	true
k141_10035	5540	1	ASV387.0	5540		0	1000	false	true
k141_10036	1917	1	ASV102.10	1917		0	1000	false	true
k141_10037	1350	2	ASV153.8	1350	ASV102.10	1350	1000	true	true
k141_10042	2682	1	ASV487.10	2682		0	1000	false	true
k141_10045	1323	2	ASV486.6	1323	ASV476.8	1323	1000	true	true
k141_10050	3481	1	ASV300.8	3481		0	1000	false	true
k141_10051	2492	2	ASV476.8	2492	ASV486.6	2472	1000	true	true
k141_10057	1036	1	ASV102.10	1036		0	1000	false	true
k141_10061	6900	1	ASV102.10	6900		0	1000	false	true
k141_10066	2400	1	ASV487.10	2400		0	1000	false	true
k141_1007	3052	2	ASV153.8	3052	ASV102.10	3047	1000	true	true
k141_10070	1210	1	ASV399.6	1210		0	1000	false	true
k141_10071	1734	2	ASV102.10	1734	ASV153.8	1684	1000	true	true
k141_10072	1389	4	ASV507.3	976	ASV507.9	930	1000	false	true
k141_10083	1424	2	ASV476.8	1424	ASV486.6	1410	1000	true	true
k141_10084	1062	2	ASV486.6	1062	ASV476.8	1062	1000	true	true
k141_10085	1210	2	ASV507.9	1210	ASV507.11	1210	1000	true	true
k141_10090	1346	1	ASV579.0	1346		0	1000	false	true
k141_10092	1068	1	ASV102.10	1068		0	1000	false	true
k141_10095	1104	1	ASV406.4	768		0	1000	false	true
k141_10098	1097	2	ASV507.3	1097	ASV507.1	1097	1000	true	true
k141_101	2531	1	ASV579.0	2531		0	1000	false	true
k141_1010	1264	1	ASV150.14	1143		0	1000	false	true
k141_10102	1264	1	ASV300.8	1264		0	1000	false	true
