assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
BASE_00000001	1176	2	ASV476.8	1176	ASV486.6	1172	1000	true	true
BASE_00000002	1427	2	ASV153.8	1427	ASV102.10	1427	1000	true	true
BASE_00000003	1290	3	ASV507.11	1290	ASV507.9	1276	1000	true	true
BASE_00000004	1058	1	vASV57.0	1031		0	1000	false	true
BASE_00000005	1706	1	ASV102.10	1688		0	1000	false	true
BASE_00000006	1151	1	ASV426.8	1148		0	1000	false	true
BASE_00000007	1658	1	ASV476.8	1490		0	1000	false	true
BASE_00000008	1382	1	ASV399.6	1382		0	1000	false	true
BASE_00000009	2479	1	ASV300.8	2479		0	1000	false	true
BASE_00000010	4053	0		0		0	1000	false	false
BASE_00000011	6960	2	ASV102.10	6960	ASV153.8	6936	1000	true	true
BASE_00000012	3315	2	ASV153.8	3315	ASV102.10	3315	1000	true	true
BASE_00000013	3184	2	ASV153.8	3184	ASV102.10	3184	1000	true	true
BASE_00000014	1446	1	ASV300.8	1446		0	1000	false	true
BASE_00000015	1401	2	ASV507.9	1401	ASV507.11	1401	1000	true	true
BASE_00000016	1694	2	ASV153.8	1694	ASV102.10	1694	1000	true	true
BASE_00000017	1185	1	ASV476.8	1185		0	1000	false	true
BASE_00000018	1389	1	ASV476.8	1389		0	1000	false	true
BASE_00000019	1627	1	ASV102.10	1627		0	1000	false	true
BASE_00000020	1752	2	ASV153.8	1752	ASV102.10	1752	1000	true	true
BASE_00000021	1074	1	ASV426.8	1074		0	1000	false	true
BASE_00000022	1210	1	ASV266.11	1210		0	1000	false	true
BASE_00000023	2824	1	ASV487.10	2824		0	1000	false	true
BASE_00000024	1223	1	ASV300.8	1223		0	1000	false	true
BASE_00000025	2282	1	ASV487.10	2282		0	1000	false	true
BASE_00000026	1228	2	ASV153.8	1228	ASV102.10	1228	1000	true	true
BASE_00000027	1362	2	ASV153.8	1362	ASV102.10	1362	1000	true	true
